Sigma_1,Sigma_2,Corr_Coeff,Rel_Error
2.0,2.0,0.0,0.07345889743468899
2.0,2.0,0.0,0.037423820193203026
2.0,2.0,0.0,0.3270499247768747
2.0,2.0,0.0,0.28401590642582447
2.0,2.0,0.0,0.28748691669630727
2.0,2.0,0.0,0.08644918103984432
2.0,2.0,0.0,0.982197514952567
2.0,2.0,0.0,0.16307312215228106
2.0,2.0,0.0,0.9952722009654206
2.0,2.0,0.0,0.9001868844928201
2.0,2.0,0.0,0.19169740952661937
2.0,2.0,0.0,0.443151386205709
2.0,2.0,0.0,0.021953545508037253
2.0,2.0,0.0,0.999989676012369
2.0,2.0,0.0,0.031168155179729783
2.0,2.0,0.0,0.023495613782427646
2.0,2.0,0.0,0.02522100888116405
3.0,2.0,0.0,0.22314411802525208
3.0,2.0,0.0,0.08987963965160597
3.0,2.0,0.0,0.04559102856253831
3.0,2.0,0.0,0.2112742759343144
3.0,2.0,0.0,0.9985786523257875
3.0,2.0,0.0,0.04711868771277316
3.0,2.0,0.0,0.8813770782258922
3.0,2.0,0.0,0.2373636456626829
3.0,2.0,0.0,0.5313421157290183
3.0,2.0,0.0,0.014642164665638552
3.0,2.0,0.0,0.5279488590795893
3.0,2.0,0.0,0.3825972541925833
3.0,2.0,0.0,0.9746306966879764
3.0,2.0,0.0,0.028651278982945002
3.0,2.0,0.0,0.3212629356992126
3.0,2.0,0.0,0.9661474082150383
3.0,2.0,0.0,0.7677326954948178
3.0,2.0,0.0,0.9373320764917742
3.0,2.0,0.0,0.7605978496098372
3.0,2.0,0.0,0.04180292462341542
3.0,2.0,0.0,0.48810842280343786
3.0,2.0,0.0,0.696588554675346
3.0,2.0,0.0,0.15494404804918313
3.0,2.0,0.0,0.3995537126994532
3.0,2.0,0.0,0.9855479645141915
0.5,3.0,0.0,0.9998028510513469
0.5,3.0,0.0,0.9998010495790652
0.5,3.0,0.0,0.9999633274829494
0.5,3.0,0.0,0.9999519840986508
0.5,3.0,0.0,0.9999996465744286
0.5,3.0,0.0,0.9995747909463502
0.5,3.0,0.0,0.9826987048383592
0.5,3.0,0.0,0.0847309519073731
0.5,3.0,0.0,0.9995008207274877
0.5,3.0,0.0,0.9946114665075656
0.5,3.0,0.0,0.17943828563340095
0.5,3.0,0.0,0.9997185881249401
0.5,3.0,0.0,0.2611500937060088
0.5,3.0,0.0,0.9999842803498162
0.5,3.0,0.0,0.7571670529488217
0.5,3.0,0.0,0.9769560576036128
0.5,3.0,0.0,0.17383620410144587
0.5,3.0,0.0,0.9920171710422854
0.5,3.0,0.0,0.9998828321049946
0.5,3.0,0.0,0.9998752716077981
0.5,3.0,0.0,0.999999996312379
0.5,3.0,0.0,0.9997382723395072
0.5,3.0,0.0,0.9999849149804313
0.5,3.0,0.0,0.9998047723983893
0.5,3.0,0.0,0.9999630112823408
1.0,3.0,0.0,0.9988626476437104
1.0,3.0,0.0,0.9999833785569435
1.0,3.0,0.0,0.9991595298949694
1.0,3.0,0.0,0.015595642820528959
1.0,3.0,0.0,0.03449765999094524
1.0,3.0,0.0,0.01841211153810445
1.0,3.0,0.0,0.00958454483426062
1.0,3.0,0.0,0.06088573643030272
1.0,3.0,0.0,0.018667025776899018
1.0,3.0,0.0,0.019245879048689914
1.0,3.0,0.0,0.028248077312437662
1.0,3.0,0.0,0.07946349482932678
1.0,3.0,0.0,0.01947493388817503
1.0,3.0,0.0,0.03330300598824875
1.0,3.0,0.0,0.19103013790765522
1.0,3.0,0.0,0.02527386621919401
1.0,3.0,0.0,0.19938452463216177
1.0,3.0,0.0,0.2508879693822891
1.0,3.0,0.0,0.0728168115882881
1.0,3.0,0.0,0.0794559750354381
1.0,3.0,0.0,0.029955616538732986
1.0,3.0,0.0,0.1948428233072622
1.0,3.0,0.0,0.03899659299379399
1.0,3.0,0.0,0.06236970853643693
1.0,3.0,0.0,0.0772353784384868
2.0,3.0,0.0,0.8824863619899268
2.0,3.0,0.0,0.9638226352965306
2.0,3.0,0.0,0.9995014778034798
2.0,3.0,0.0,0.9919688974569415
2.0,3.0,0.0,0.9998894046355503
2.0,3.0,0.0,0.9999379921541958
2.0,3.0,0.0,0.9993026071704241
2.0,3.0,0.0,0.9995024269132606
2.0,3.0,0.0,0.9904623929914899
2.0,3.0,0.0,0.9997735936624733
2.0,3.0,0.0,0.9998986496820645
2.0,3.0,0.0,0.9894153923737291
2.0,3.0,0.0,0.9999996311872412
2.0,3.0,0.0,0.980654107972967
2.0,3.0,0.0,0.51041680538668
2.0,3.0,0.0,0.9973743181471798
2.0,3.0,0.0,0.98605370618814
2.0,3.0,0.0,0.9986582014559481
2.0,3.0,0.0,0.8430862962931529
2.0,3.0,0.0,0.995054331508004
2.0,3.0,0.0,0.9954386624308429
2.0,3.0,0.0,0.9195308461391555
2.0,3.0,0.0,0.980945115323016
2.0,3.0,0.0,0.3730475903022251
2.0,3.0,0.0,0.9978131496460149
3.0,3.0,0.0,0.992422635813038
3.0,3.0,0.0,0.04968766030675841
3.0,3.0,0.0,0.9945879031691263
3.0,3.0,0.0,0.030615482484096
3.0,3.0,0.0,0.9989240277006333
3.0,3.0,0.0,0.9999385202681792
3.0,3.0,0.0,0.9963414109140663
3.0,3.0,0.0,0.9998281393558761
3.0,3.0,0.0,0.8080484103300595
3.0,3.0,0.0,0.016201158353016006
3.0,3.0,0.0,0.9860334742688595
3.0,3.0,0.0,0.35501937443590975
3.0,3.0,0.0,0.5404272796772874
3.0,3.0,0.0,0.008624377534053903
3.0,3.0,0.0,0.2703497995949384
3.0,3.0,0.0,0.04679479173217148
3.0,3.0,0.0,0.15389041725496497
3.0,3.0,0.0,0.9998465795920685
3.0,3.0,0.0,0.8994690137321233
3.0,3.0,0.0,0.005895734170492427
3.0,3.0,0.0,0.022707909181759613
3.0,3.0,0.0,0.12108115502619787
3.0,3.0,0.0,0.06067568808901377
3.0,3.0,0.0,0.9998864926016603
3.0,3.0,0.0,0.9992920846182736
0.5,0.5,0.25,0.01211895662097007
0.5,0.5,0.25,0.009452198655431511
0.5,0.5,0.25,0.002329463388949282
0.5,0.5,0.25,0.007625193846316899
0.5,0.5,0.25,0.020990263449521727
0.5,0.5,0.25,0.007185941544101127
0.5,0.5,0.25,0.006701662845046122
0.5,0.5,0.25,0.00926785158458456
0.5,0.5,0.25,0.007574341762066265
0.5,0.5,0.25,0.007058770335689918
0.5,0.5,0.25,0.011913145311181645
0.5,0.5,0.25,0.014152008847236759
0.5,0.5,0.25,0.009912652867753079
0.5,0.5,0.25,0.012064408610667552
0.5,0.5,0.25,0.0053808325607322145
0.5,0.5,0.25,0.015096899503758855
0.5,0.5,0.25,0.006138897766092053
0.5,0.5,0.25,0.01218419815308587
0.5,0.5,0.25,0.004938726669884256
0.5,0.5,0.25,0.003336407969083101
0.5,0.5,0.25,0.010921224422896494
0.5,0.5,0.25,0.008021201443534253
0.5,0.5,0.25,0.010981788343718176
0.5,0.5,0.25,0.008646559248820337
0.5,0.5,0.25,0.016161917916249068
1.0,0.5,0.25,0.0049030752265127415
1.0,0.5,0.25,0.01292047449808218
1.0,0.5,0.25,0.003975965484102419
1.0,0.5,0.25,0.011634239060549665
1.0,0.5,0.25,0.009473630195505015
1.0,0.5,0.25,0.01178595134338621
1.0,0.5,0.25,0.007566333766340887
1.0,0.5,0.25,0.01968214684343341
1.0,0.5,0.25,0.008966137392758112
1.0,0.5,0.25,0.009846955979032382
1.0,0.5,0.25,0.011498721448735651
1.0,0.5,0.25,0.004142921509831411
1.0,0.5,0.25,0.009345954680036158
1.0,0.5,0.25,0.018416205645431002
1.0,0.5,0.25,0.020784156805157352
1.0,0.5,0.25,0.006637430833616551
1.0,0.5,0.25,0.016100898177751594
1.0,0.5,0.25,0.0078045876935859335
1.0,0.5,0.25,0.006158692994999522
1.0,0.5,0.25,0.006298590469653421
1.0,0.5,0.25,0.00562548994185683
1.0,0.5,0.25,0.0065739986824224295
1.0,0.5,0.25,0.01964283485953339
1.0,0.5,0.25,0.010511219140160958
1.0,0.5,0.25,0.018779679654498532
2.0,0.5,0.25,0.1578806513083224
2.0,0.5,0.25,0.12347879394173517
2.0,0.5,0.25,0.12914840438257272
2.0,0.5,0.25,0.06725850702299452
2.0,0.5,0.25,0.02485164380897173
2.0,0.5,0.25,0.010877480436532225
2.0,0.5,0.25,0.006932303135395314
2.0,0.5,0.25,0.19471477100720605
2.0,0.5,0.25,0.04536055657350058
2.0,0.5,0.25,0.06875627758795501
2.0,0.5,0.25,0.09569182502324229
2.0,0.5,0.25,0.042285665756093264
2.0,0.5,0.25,0.9466321718036196
2.0,0.5,0.25,0.012148087069747557
2.0,0.5,0.25,0.02521409756379119
2.0,0.5,0.25,0.026892705169383427
2.0,0.5,0.25,0.2217621997695104
2.0,0.5,0.25,0.07264360039229156
2.0,0.5,0.25,0.013030006000680662
2.0,0.5,0.25,0.03358468826020355
2.0,0.5,0.25,0.16808894776797947
2.0,0.5,0.25,0.19930910364702958
2.0,0.5,0.25,0.04663144269004256
2.0,0.5,0.25,0.1888426972837551
2.0,0.5,0.25,0.988258279201386
3.0,0.5,0.25,0.01872136675353773
3.0,0.5,0.25,0.0076532264487896495
3.0,0.5,0.25,0.040141002187752475
3.0,0.5,0.25,0.017987875265708893
3.0,0.5,0.25,0.0177126324482254
3.0,0.5,0.25,0.006027597063317481
3.0,0.5,0.25,0.011488357563738663
3.0,0.5,0.25,0.009194795584465655
3.0,0.5,0.25,0.008541779200066895
3.0,0.5,0.25,0.06156097689460479
3.0,0.5,0.25,0.0054645312836504875
